faceit_nickname,faceit_player_id,country,steam_id_64,cs2_skill_level,cs2_faceit_elo,Average K/D Ratio,ADR,Average Headshots %,Win Rate %,Matches,Total Matches,Wins,Recent Results,Current Win Streak,Longest Win Streak,Average K/R Ratio,Entry Success Rate,Entry Rate,Total Entry Count,Total Entry Wins,Utility Damage per Round,Utility Success Rate,Utility Usage per Round,Flash Success Rate,Flashes per Round,Enemies Flashed per Round,Total Utility Damage,Total Enemies Flashed,Total Flash Successes,Total Flash Count,1v1 Win Rate,1v2 Win Rate,Total 1v1 Count,Total 1v1 Wins,Total 1v2 Count,Total 1v2 Wins,Sniper Kill Rate,Sniper Kill Rate per Round,Total Sniper Kills,Total Damage,Total Rounds with extended stats,Total Kills with extended stats
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,pt,76561197977881703,9,1950,1.17,81.88,38,51,4869,1313,2500,1|0|1|1|0,0,12,,0.52,0.16,4612,2400,5.63,0.32,0.51,0.52,0.67,0.53,163880,15376,10097,19578,0.4,0.23,934,376,1109,260,0.03,0.04,930,2381350,29084,22144
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,br,76561198042644945,9,1957,0.97,77.43,38,50,4858,1209,2445,0|0|0|1|1,2,11,,0.48,0.18,4801,2307,8.67,0.4,0.65,0.54,0.65,0.6,230335,15830,9362,17236,0.4,0.19,738,292,934,173,0,0,75,2056207,26554,17291
pelogan,2ea9b956-14da-480d-bbfd-8ade5c3a1e3a,ie,76561198079227697,7,1481,1.09,74.54,43,52,1842,492,953,1|1|1|1|0,0,13,,0.49,0.19,2033,990,4.82,0.39,0.39,0.45,0.46,0.3,52532,3320,2257,5037,0.34,0.21,329,113,373,80,0.01,0.01,93,812389,10899,7432
facedaking,c1d4a1a6-7615-455c-99a1-5d57f0465d25,pt,76561198086134154,8,1622,0.98,72.2,38,50,3144,1262,1570,0|0|1|1|0,0,11,,0.51,0.21,5761,2914,4.73,0.32,0.41,0.45,0.43,0.27,132064,7498,5361,12003,0.33,0.17,662,220,738,124,0.12,0.19,3435,2014331,27899,18406
-deco-,f53bb9a4-e09e-4985-b72e-88c567d932f8,br,76561197967624900,8,1637,0.97,69.58,40,50,1594,838,800,0|0|1|0|1,1,8,,0.47,0.15,2755,1303,6,0.34,0.48,0.46,0.63,0.43,111215,7957,5346,11684,0.39,0.19,576,225,671,129,0.02,0.03,353,1290212,18544,11482
_DaN_,22a2b582-3597-45f1-988c-a5377c6118f8,pt,76561198064141848,10,2003,1.03,76.86,40,51,2621,936,1347,1|1|0|0|1,1,8,,0.49,0.19,3858,1899,6.26,0.3,0.59,0.44,0.79,0.52,130081,10830,7224,16447,0.35,0.21,630,223,762,161,0.11,0.16,2223,1596311,20770,14188
BadDoug,4395a28c-0038-4f2e-bc1b-8f23be569312,br,76561198177753313,7,1439,0.98,72.58,34,50,1572,336,790,0|1|0|0|0,0,9,,0.49,0.22,1607,795,3.91,0.32,0.33,0.46,0.54,0.35,29156,2610,1849,4053,0.41,0.23,222,92,235,54,0.16,0.25,1202,541533,7461,4903
FenoNemo,2f4758c9-f2b8-4cae-b5b1-3684a4e62e8d,br,76561198272954024,10,2149,1.08,78.98,44,52,1981,1811,1022,0|0|0|0|1,1,13,,0.51,0.21,8480,4303,5.55,0.38,0.43,0.46,0.37,0.26,223094,10284,6896,14837,0.39,0.21,1117,432,1234,253,0.06,0.09,2602,3174177,40192,28945
J_a_c_k__,bb46c407-6741-46eb-8c6b-e72b63bee5b6,pt,76561198879204564,9,1828,0.99,75.07,42,51,2233,918,1130,0|0|1|1|0,0,10,,0.5,0.2,3963,1968,6.36,0.38,0.52,0.46,0.45,0.3,129166,6114,4218,9172,0.38,0.19,505,190,581,111,0.07,0.11,1504,1524400,20306,13719
K4_k0,408fea6f-b4db-4917-a2d2-a084f0dc72bc,al,76561198076813519,8,1542,0.97,72.9,40,50,1342,575,674,0|1|1|0|0,0,8,,0.47,0.21,2665,1249,4.74,0.33,0.41,0.44,0.37,0.24,59986,3014,2062,4690,0.38,0.21,303,116,300,64,0,0.01,54,923363,12666,8482
Lag_404,c70b8e94-59b2-4533-abaa-41ad0c1b60f9,by,76561198307466059,10,2195,1.05,82.84,56,51,4006,1347,2028,1|0|0|1|0,0,9,,0.51,0.21,6392,3268,5.05,0.29,0.49,0.45,0.67,0.46,151202,13677,8962,20071,0.4,0.23,620,249,775,176,0.01,0.02,388,2479339,29928,22690
P3S4D3L8,f9a6f8ee-6868-4b18-9a57-dacb738f7588,ch,76561198031750305,8,1564,1.15,81.27,32,53,2265,438,1208,1|0|1|1|1,3,10,,0.48,0.19,1795,861,4.72,0.42,0.4,0.48,0.39,0.26,45062,2476,1771,3720,0.4,0.2,281,111,303,60,0.04,0.05,375,776255,9552,7041
Wagnerzera,691111ea-e36a-450b-928a-daafb3ff6ec1,ru,76561198952041434,6,1302,0.89,70.46,40,48,3430,2319,1663,0|1|0|1|0,0,9,,0.46,0.17,8553,3942,5.53,0.38,0.38,0.43,0.42,0.27,285001,13855,9291,21829,0.36,0.22,1383,502,1716,375,0.04,0.06,1824,3633428,51570,32366
AshFxLL,dd19c0cd-5d7d-4961-9a8d-1b9fb0715b05,br,76561198349563796,9,1832,1.19,80.6,51,52,1169,193,612,1|0|0|0|1,1,8,,0.47,0.19,808,380,5.42,0.36,0.46,0.44,0.76,0.48,23484,2066,1450,3286,0.43,0.24,121,52,114,27,0.02,0.03,82,348930,4329,3142
-Eragonz-,344645a5-6be3-45f7-8d88-a1f0e7dc5a98,br,76561199020198204,9,1976,1.07,85.87,49,50,2584,864,1299,1|1|0|1|0,0,13,,0.5,0.27,5264,2621,7.4,0.42,0.53,0.5,0.49,0.36,142738,6880,4738,9471,0.4,0.22,346,138,426,92,0.02,0.03,481,1656771,19295,14486
dudaaaaaaaaa,cfd4e8ab-8b55-4e70-99d3-29aee35e9324,gd,76561198430586159,10,2041,1.13,84.23,55,51,1676,842,859,0|0|1|0|0,0,10,,0.5,0.24,4441,2221,3.54,0.39,0.29,0.45,0.29,0.19,66120,3606,2484,5485,0.38,0.25,364,140,504,128,0.05,0.06,890,1572736,18671,14841
Humildera,d7879b1e-6a76-4484-8265-2866c36679a4,pt,76561198858066994,9,1970,1.26,80.51,51,52,2346,283,1227,1|0|0|1|0,0,11,,0.55,0.16,1010,552,3.38,0.37,0.26,0.45,0.67,0.47,21383,2972,1927,4242,0.38,0.26,249,95,244,64,0.04,0.05,238,509808,6332,4962
Jefao171,bf3b4d03-9d93-45ae-906f-4ea39ff3c16f,br,76561198121042356,7,1527,1.02,78.83,44,50,2315,395,1153,0|0|0|0|1,1,10,,0.5,0.22,1921,958,5.48,0.42,0.38,0.49,0.54,0.39,48078,3396,2285,4701,0.34,0.22,205,70,239,53,0.03,0.04,275,691092,8767,6139
leoobr,708beddb-899c-4553-9464-80f6734b9023,br,76561198107214392,10,2231,1.32,83.15,45,54,1626,729,883,1|1|0|1|0,0,9,,0.53,0.18,2944,1550,5.73,0.4,0.36,0.48,0.55,0.39,91380,6281,4210,8782,0.44,0.24,504,224,544,132,0.02,0.03,396,1326523,15954,12043
Lpz1NNNN,c03727e7-04c7-4ba2-b234-31c70d44633a,br,76561199551678063,9,1874,1.02,81.15,40,52,2546,2355,1314,0|1|0|1|0,0,14,,0.48,0.23,11821,5644,5.41,0.32,0.46,0.49,0.57,0.42,281669,21888,14445,29673,0.38,0.18,1167,446,1413,255,0.03,0.05,1797,4228519,52107,37269
Nilove2Bala,a86d2f09-9ac3-4c78-8cc5-b8705d8e5145,pt,76561198076565994,10,2248,1.27,85.14,45,52,1798,462,942,1|0|0|0|0,0,11,,0.56,0.16,1593,887,5.62,0.34,0.48,0.47,0.37,0.25,57179,2517,1741,3727,0.32,0.22,392,125,478,106,0.14,0.18,1432,866688,10179,8130
bomdecama,271b422b-d10d-4f08-8228-97d89d6a9693,fr,76561199156477789,10,2254,1.19,84.44,46,52,3490,1587,1821,1|0|1|0|1,1,11,,0.54,0.23,7945,4292,3.1,0.27,0.36,0.43,0.45,0.28,108948,9847,6806,15780,0.36,0.21,968,353,1028,213,0.06,0.08,2144,2970489,35180,28113
PretinQpisa,51c64cc1-5165-4469-8aaa-6dfc0a4d2eb7,it,76561198295788810,10,2258,1.14,78.73,54,49,2408,1494,1183,0|0|1|1|1,3,8,,0.5,0.19,6451,3222,4.85,0.32,0.42,0.43,0.46,0.28,160761,9378,6507,15235,0.38,0.21,897,342,956,204,0.02,0.03,680,2609667,33147,24567
Kazu--,526adf38-3796-490a-bcb4-4ee333d189cc,es,76561198058351109,9,1949,1.03,82.71,41,50,5895,590,2970,0|0|0|0|1,1,13,,0.5,0.21,2667,1336,6.15,0.36,0.47,0.46,0.52,0.34,79386,4415,3068,6739,0.37,0.23,387,143,497,116,0.06,0.09,836,1068304,12916,9708
SPAN1SH,549e5417-cf4a-45f3-be20-6db6440f98d1,br,76561199134123699,9,1939,1.19,82.1,41,52,1572,735,820,1|0|0|1|1,2,9,,0.51,0.2,3336,1688,5.48,0.35,0.45,0.48,0.44,0.32,90418,5251,3465,7258,0.39,0.26,472,182,525,136,0.04,0.06,733,1355572,16512,12273
Tatuox,f0b25e08-7b62-4a78-8eb6-f7988459ae3c,br,76561198826073463,9,1875,1.12,82.81,49,52,1022,732,530,0|0|1|0|0,0,10,,0.53,0.19,3017,1588,6.51,0.43,0.49,0.58,0.67,0.61,105637,9841,6263,10843,0.36,0.22,490,178,589,132,0.08,0.1,1249,1343617,16225,11996
D4rl1ng,b280f755-1faf-4906-b184-3f8638211d03,br,76561198286048324,9,1787,1.08,75.16,51,49,5091,3729,2512,0|0|1|0|1,1,9,,0.49,0.21,16871,8193,4.53,0.32,0.31,0.48,0.62,0.44,372954,36328,24715,51021,0.4,0.21,2348,946,2734,587,0.04,0.06,3275,6185017,82296,57505
dLGxD,ea2b4261-fc10-4766-bd22-e6329eafc5b4,pt,76561198240245058,6,1262,1.01,68.45,38,50,1246,297,624,0|0|1|1|1,3,7,,0.43,0.16,1052,451,5.33,0.36,0.38,0.42,0.24,0.14,35038,939,660,1588,0.44,0.15,146,64,182,28,0.01,0.01,42,449596,6568,3987
remix1990,72ed8b73-22bc-41cc-b3c5-68b8b20fb356,pt,76561198003353395,9,1893,1.05,74.44,46,50,3153,877,1576,0|1|0|0|1,1,10,,0.48,0.14,2790,1333,5.14,0.42,0.35,0.51,0.33,0.25,99566,4935,3259,6437,0.41,0.22,557,228,625,137,0.01,0.01,161,1441060,19358,13520
sykesssssss,bcb98795-f93f-4d8e-b38b-6e1640ffe8f9,br,76561198137393605,9,1759,1.04,78.77,51,50,1336,1188,666,0|0|1|0|0,0,10,,0.49,0.19,5097,2481,3.15,0.34,0.28,0.49,0.44,0.32,82962,8369,5674,11644,0.36,0.22,655,238,824,185,0.05,0.06,1209,2071751,26301,18902
DigdiM--,5e05d14f-9f46-4c31-831b-9e60ccdb63a5,br,76561198844171212,9,1774,1.02,76.05,42,51,1423,756,730,1|0|1|1|0,0,9,,0.47,0.19,3268,1550,4.19,0.33,0.44,0.44,0.49,0.33,70728,5602,3684,8309,0.4,0.15,410,164,455,69,0.06,0.09,1048,1285049,16897,11731
JoVi_,afedb1cf-e7f2-48e8-8730-bd6e468ed1a1,br,76561198067083417,8,1666,1.06,81.29,48,50,1242,541,626,0|0|0|0|0,0,9,,0.52,0.23,2723,1415,3.1,0.35,0.22,0.45,0.42,0.28,37310,3381,2258,5030,0.45,0.22,262,118,321,72,0.05,0.07,600,979787,12053,9115
Mike7th,4fa7ebe1-6ede-4a90-b975-b8ebc8a781f0,br,76561199491179823,6,1331,0.95,76.4,31,51,299,296,153,0|1|1|0|0,0,10,,0.48,0.19,1228,584,7.47,0.37,0.65,0.44,0.61,0.39,48284,2520,1730,3935,0.3,0.19,171,52,180,35,0.04,0.06,254,494150,6468,4157
-Mazzoni,ae329a5d-6843-4281-b2c3-dae18cbed29f,br,76561198279277334,8,1606,0.95,73.4,43,49,1740,728,857,0|1|1|1|0,0,11,,0.49,0.18,2993,1466,3.41,0.26,0.38,0.46,0.53,0.37,55333,5985,3922,8553,0.34,0.21,388,133,470,99,0.05,0.07,770,1191135,16228,10797
LaPesteBr,8153d00d-4e44-4646-89b8-ba79ef302fad,be,76561198404853215,9,1861,1.03,78.09,38,52,2131,544,1101,0|1|1|1|0,0,10,,0.48,0.21,2550,1215,4.72,0.33,0.44,0.41,0.45,0.28,56891,3398,2268,5474,0.38,0.17,327,125,338,58,0.02,0.03,229,940702,12046,8393
bnilgame,e039371d-f876-464b-a7e7-9d5134f6e21c,br,76561198367233358,6,1255,1.08,77.11,41,51,293,268,150,0|1|0|1|1,2,8,,0.51,0.16,965,491,4.23,0.32,0.43,0.46,0.43,0.28,25510,1678,1188,2603,0.33,0.18,224,75,232,42,0.02,0.03,117,465197,6033,4191
SALAZARR-,70f82a2d-d863-4763-b18a-faa1cee4f713,ie,76561198861823813,9,1903,1.22,80.33,66,50,1262,1251,635,0|0|0|1|0,0,9,,0.54,0.19,5310,2876,4.48,0.32,0.46,0.5,0.59,0.44,124485,12302,8183,16391,0.36,0.21,931,338,1099,231,0.02,0.02,448,2233372,27802,21222
tuca89,6fb741bc-a387-40d6-b24b-29e7d9780853,it,76561197967572421,3,891,1.04,61.87,35,50,939,138,474,0|1|0|0|0,0,9,,0.41,0.12,379,155,3.52,0.34,0.33,0.46,0.53,0.36,10807,1107,761,1637,0.43,0.11,101,43,124,14,0.03,0.05,78,189953,3070,1672
BatmanRessac,ae7371e1-ac6b-4238-b2a2-9a40cd0fe722,br,76561198306850744,9,1903,1.1,82.97,47,52,487,478,254,0|1|0|0|0,0,14,,0.52,0.24,2552,1322,4.31,0.33,0.43,0.45,0.3,0.2,45406,2116,1431,3190,0.34,0.26,253,86,322,83,0.12,0.16,1282,873216,10524,7911
raphash0w,7e1681ad-280a-4ade-90c5-a01c811e456c,br,76561197989338449,10,2107,1.04,75.67,41,51,3977,783,2013,1|1|0|0|1,1,12,,0.53,0.22,3840,2044,3.51,0.34,0.29,0.55,0.55,0.48,60510,8234,5216,9476,0.38,0.2,436,166,541,110,0.25,0.34,4243,1305912,17257,12366
