metric,count,min,p10,p25,p50,p75,p90,p95,max,mean
ADR,40,61.87,72.026,74.9375,78.75,81.935,83.258,84.475,85.87,77.9215
Average K/D Ratio,40,0.89,0.97,1.0175,1.05,1.1325,1.193,1.2605,1.32,1.0735
Average Headshots %,40,31,37.7,40.0,42.5,48.25,51.3,55.05,66,43.85
Win Rate %,40,48,49.9,50.0,51.0,52.0,52.0,52.05,54,50.825
Entry Success Rate,40,0.41,0.47,0.48,0.5,0.5125,0.531,0.5405,0.56,0.4972
Entry Rate,40,0.12,0.16,0.18,0.19,0.21,0.23,0.24,0.27,0.1947
Utility Damage per Round,40,3.1,3.407,4.22,4.95,5.6225,6.375,7.4035,8.67,5.0282
Utility Success Rate,40,0.26,0.318,0.32,0.34,0.38,0.42,0.42,0.43,0.3512
Utility Usage per Round,40,0.22,0.29,0.36,0.425,0.4725,0.521,0.593,0.65,0.4198
Flash Success Rate,40,0.41,0.43,0.4475,0.46,0.4825,0.511,0.5405,0.58,0.4678
Flashes per Round,40,0.24,0.366,0.4275,0.49,0.595,0.67,0.6745,0.79,0.5037
Enemies Flashed per Round,40,0.14,0.249,0.2775,0.335,0.4325,0.484,0.5335,0.61,0.3532
1v1 Win Rate,40,0.3,0.339,0.36,0.38,0.4,0.43,0.44,0.45,0.3795
1v2 Win Rate,40,0.11,0.17,0.19,0.21,0.2225,0.241,0.26,0.26,0.2088
Total 1v1 Count,40,101,201.6,276.25,423.0,656.75,982.9,1177.8,2348,551.775
Total 1v2 Count,40,114,227.0,316.5,514.5,787.25,1121.5,1428.15,2734,643.375
Matches,40,293,1013.7,1340.5,1911.5,2751.75,4091.2,4880.1,5895,2270.575
Total Matches,40,138,294.7,474.0,745.5,1219.5,1609.4,2320.8,3729,923.225
Current Win Streak,40,0,0.0,0.0,0.0,1.0,2.0,3.0,3,0.625
Longest Win Streak,40,7,8.0,9.0,10.0,11.0,13.0,13.05,14,10.125
Total Rounds with extended stats,40,3070,6454.4,10437.75,16704.5,26866.0,35681.2,51596.85,82296,20448.5
Sniper Kill Rate,40,0.0,0.01,0.02,0.04,0.06,0.12,0.141,0.25,0.0512
Sniper Kill Rate per Round,40,0.0,0.01,0.03,0.055,0.09,0.162,0.193,0.34,0.0728
Total Sniper Kills,40,42,81.6,250.0,706.5,1319.5,2260.9,3283.0,4243,1001.175
